"url","depth","content_type","raw_file"
"https://daihoc.fpt.edu.vn/nganh-hoc/quan-tri-kinh-doanh/","1","text/html","data/raw/fpt_admission/html/c468d80522324c63bb303bc3.html"
"https://daihoc.fpt.edu.vn/phuong-thuc-tuyen-sinh/","1","text/html","data/raw/fpt_admission/html/a6686ba0c92f32cf263e6425.html"
"https://daihoc.fpt.edu.vn/thong-bao-tuyen-sinh/loat-nganh-hoc-khong-the-bo-lo-va-co-hoi-xet-tuyen-bo-sung-cho-2k8-tai-fptu/","1","text/html","data/raw/fpt_admission/html/f4a458e24ff6b2735a6119d2.html"
"https://daihoc.fpt.edu.vn/thong-bao-tuyen-sinh/ma-truong-dai-hoc-fpt/","1","text/html","data/raw/fpt_admission/html/802cfaff58cb2afde0163d15.html"
"https://daihoc.fpt.edu.vn/thong-bao-tuyen-sinh/nhung-manh-ghep-nhan-tai-tiep-tuc-lo-dien-tai-vong-phong-van-dot-2-hoc-bong-nguyen-van-dao/","1","text/html","data/raw/fpt_admission/html/8832f6f831f3262d59ba5aa0.html"
"https://daihoc.fpt.edu.vn/thong-bao-tuyen-sinh/tan-sinh-vien-do-bo-fptu-ron-rang-khong-khi-nhap-hoc-tren-toan-quoc/","1","text/html","data/raw/fpt_admission/html/d61e95b0bc9e651a5867753c.html"
"https://daihoc.fpt.edu.vn/thong-bao-tuyen-sinh/truong-dai-hoc-fpt-cong-bo-diem-chuan-nam-2026-tiep-tuc-nhan-ho-so-xet-tuyen-mot-so-nganh/","1","text/html","data/raw/fpt_admission/html/3faa516de5ed537e7f4e17e7.html"
"https://daihoc.fpt.edu.vn/thong-bao-tuyen-sinh/truong-dai-hoc-fpt-ra-mat-he-thong-kiem-tra-dieu-kien-xet-tuyen-nam-2026/","1","text/html","data/raw/fpt_admission/html/e8d86022113c4985441e7ba1.html"
"https://daihoc.fpt.edu.vn/tin-tuc/truong-dai-hoc-fpt-cong-bo-ket-qua-tuyen-sinh-2026/","1","text/html","data/raw/fpt_admission/html/30e502403a4535aa91f6775e.html"
"https://daihoc.fpt.edu.vn/tuyen-sinh","1","text/html","data/raw/fpt_admission/html/9e0f74c1f789c6a896f3766c.html"
"https://daihoc.fpt.edu.vn/ve-fptu/","1","text/html","data/raw/fpt_admission/html/4e911f83fdb93edf81db41e9.html"
"https://daihoc.fpt.edu.vn/chuong-trinh-dao-tao","2","text/html","data/raw/fpt_admission/html/24ed1123702eef948b28441f.html"
"https://daihoc.fpt.edu.vn/chuyen-muc/thong-bao-tuyen-sinh/page/2/","2","text/html","data/raw/fpt_admission/html/17b575c688ff1ee1e7d09a2f.html"
"https://daihoc.fpt.edu.vn/chuyen-muc/thong-bao-tuyen-sinh/page/3/","2","text/html","data/raw/fpt_admission/html/08371c3eea76811a0cda212b.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/cong-nghe-tai-chinh/","2","text/html","data/raw/fpt_admission/html/410dde64b48d1fd2c95c5163.html"
"https://daihoc.fpt.edu.vn/dang-ky-hoc-bong","2","text/html","data/raw/fpt_admission/html/9d422dc7fd37cf90f4b30c3d.html"
"https://daihoc.fpt.edu.vn/dang-ky-tu-van-tuyen-sinh-2026/?utm_source=SEO&utm_medium=TV&utm_campaign=SEO_FROM","2","text/html","data/raw/fpt_admission/html/fbfa27b76761ac6ce29e01bd.html"
"https://daihoc.fpt.edu.vn/hcm/810-suat-hoc-bong-vung-tuong-lai-nam-hoc-2025-2026-dong-hanh-cung-hoc-sinh-sinh-vien-viet-nam/","2","text/html","data/raw/fpt_admission/html/1ac842e2d236a6f7ec9afb06.html"
"https://daihoc.fpt.edu.vn/hcm/amcham-trao-hoc-bong-2025-cho-5-sinh-vien-truong-dai-hoc-fpt/","2","text/html","data/raw/fpt_admission/html/c34511d6478649b524169d29.html"
"https://daihoc.fpt.edu.vn/hcm/fpt-software-trao-hoc-bong-tai-nang-nganh-cong-nghe-o-to-so-cho-ba-sinh-vien-truong-dai-hoc-fpt/","2","text/html","data/raw/fpt_admission/html/40b365f3e3902e18de2a9f40.html"
"https://daihoc.fpt.edu.vn/hcm/fsb-hoa-chung-khong-khi-convocation-day-2025-trao-hoc-bong-mba-cho-ba-thu-khoa-xuat-sac-cua-dai-hoc-fpt/","2","text/html","data/raw/fpt_admission/html/fcaa9dc7a10e960aae8f2213.html"
"https://daihoc.fpt.edu.vn/hcm/hoc-bong-chuong-trinh-nextgen-mentorship-2026-tu-jobbags-chinh-thuc-mo-don/","2","text/html","data/raw/fpt_admission/html/16d27193088d8e7d176d965e.html"
"https://daihoc.fpt.edu.vn/hcm/hoc-bong-gamuda-2026-khoi-dau-hanh-trinh-kien-tao-tuong-lai/","2","text/html","data/raw/fpt_admission/html/ec9e2ba48228088823cb4d35.html"
"https://daihoc.fpt.edu.vn/hcm/hoc-bong-s80-international-education-scholarship-chi-con-khoang-4-000-suat-ho-tro-hoc-ielts/","2","text/html","data/raw/fpt_admission/html/eff3772e4e44dec434940627.html"
"https://daihoc.fpt.edu.vn/hcm/hoc-bong-thac-si-rs-gis-2026-tai-vien-cong-nghe-chau-a-ait-chinh-thuc-mo-don/","2","text/html","data/raw/fpt_admission/html/7c901fdea9f755fbc6daef6d.html"
"https://daihoc.fpt.edu.vn/hcm/hoc-sinh-tai-cac-truong-thpt-sau-duoc-nhan-hoc-bong-khu-vuc-1-tai-campus-ho-chi-minh/","2","text/html","data/raw/fpt_admission/html/a56e3e4fcc3fb06aa120c839.html"
"https://daihoc.fpt.edu.vn/hcm/ielts-mentor-trao-hoc-bong-100-hoc-phi-cho-7-tan-thu-khoa-truong-dai-hoc-fpt/","2","text/html","data/raw/fpt_admission/html/ad28d12d3fa8fee972f6db33.html"
"https://daihoc.fpt.edu.vn/hcm/le-tong-ket-trao-hoc-bong-chuong-trinh-ky-su-cntt-nhat-ban-khoa-1/","2","text/html","data/raw/fpt_admission/html/e43119de6b6b6a770ab59863.html"
"https://daihoc.fpt.edu.vn/hcm/sinh-vien-truong-dai-hoc-fpt-nhan-hoc-bong-jabil-viet-nam-2026/","2","text/html","data/raw/fpt_admission/html/eab6c3347d4a92ffc8c45eb7.html"
"https://daihoc.fpt.edu.vn/hcm/sinh-vien-truong-dai-hoc-fpt-nhan-hoc-bong-jabil-viet-nam-2026-2/","2","text/html","data/raw/fpt_admission/html/de21af5f3c6b18f96900d755.html"
"https://daihoc.fpt.edu.vn/hcm/tag/le-trao-hoc-bong/","2","text/html","data/raw/fpt_admission/html/f5c623bce79579fe234101ff.html"
